id;concept
a01;béka
a02;rák
a03;krokodil
a04;teknős
a05;kacsa
a06;bagoly
a07;csirke
a08;galamb
a09;pingvin
a10;tyúk
a11;hattyú
a12;hangya
a13;méhecske
a14;pillangó
a15;pók
a16;kutya
a17;majom
a18;medve
a19;ló
a20;zsiráf
a21;elefánt
a22;tigris
a23;zebra
a24;oroszlán
a25;kecske
a26;kígyó
a27;gyík
a28;egér
a29;mókus
a30;nyuszi
b01;orr
b02;szem
b03;fül
b04;haj
b05;nyak
b06;fogsor
b07;száj
b08;arc
b09;szakáll
b10;kéz
b11;láb
b12;térd
b13;agy
b14;csont
b15;gerinc
b16;torok
b17;izom
b18;has
b19;váll
b20;mellkas
c01;kesztyű
c02;nyaklánc
c03;öv
c04;kendő
c05;szemüveg
c06;karkötő
c07;nyakkendő
c08;karóra
c09;rúzs
c10;nadrág
c11;szoknya
c12;farmer
c13;cipő
c14;papucs
c15;csizma
c16;szandál
c17;harisnya
c18;zokni
c19;kalap
c20;sapka
c21;sál
c22;sisak
c23;pizsama
c24;fürdőruha
c25;öltöny
c26;köpeny
c27;póló
c28;pulóver
c29;ing
c30;kabát
f01;szendvics
f02;pizza
f03;kifli
f04;perec
f05;tea
f06;kakaó
f07;üdítő
f08;sajt
f09;tej
f10;vaj
f11;tojás
f12;alma
f13;banán
f14;szőlő
f15;citrom
f16;barack
f17;eper
f18;dinnye
f19;sonka
f20;szalámi
f21;spagetti
f22;fahéj
f23;só
f24;fagyi
f25;keksz
f26;méz
f27;lekvár
f28;csoki
f29;palacsinta
f30;torta
l01;állatkert
l02;játszótér
l03;cirkusz
l04;uszoda
l05;medence
l06;étterem
l07;áruház
l08;iskolaudvar
l09;kastély
l10;város
l11;kert
l12;nappali
l13;hálószoba
l14;ház
l15;konyha
l16;padlás
l17;fürdőszoba
l18;lépcső
l19;pince
l20;ebédlő
l21;garázs
l22;erkély
l23;erdő
l24;park
l25;járda
l26;mező
l27;istálló
l28;kikötő
l29;dzsungel
l30;kemping
p01;színész
p02;költő
p03;szobrász
p04;bohóc
p05;bűvész
p06;nagymama
p07;nagypapa
p08;menyasszony
p09;baba
p10;barát
p11;fiú
p12;lány
p13;gyerek
p14;felnőtt
p15;énekes
p16;balerina
p17;orvos
p18;tanár
p19;rendőr
p20;pék
p21;szakács
p22;halász
p23;postás
p24;tudós
p25;űrhajós
p26;fodrász
p27;katona
p28;pilóta
p29;bajnok
p30;focista
p31;kalóz
p32;tündér
p33;angyal
p34;boszorkány
p35;hercegnő
p36;király
p37;sellő
p38;varázsló
p39;lovag
p40;szellem
pl01;rizs
pl02;búza
pl03;kukorica
pl04;rózsa
pl05;pitypang
pl06;napraforgó
pl07;hóvirág
pl08;liliom
pl09;tulipán
pl10;lóhere
pl11;gomba
pl12;kaktusz
pl13;dió
pl14;makk
pl15;mogyoró
pl16;toboz
pl17;bokor
pl18;fenyőfa
pl19;fűzfa
pl20;tölgyfa
pl21;bükkfa
pl22;krumpli
pl23;paradicsom
pl24;bab
pl25;borsó
pl26;hagyma
pl27;káposzta
pl28;uborka
pl29;brokkoli
pl30;sárgarépa
t01;fogkefe
t02;fürdőkád
t03;szappan
t04;tükör
t05;esernyő
t06;sátor
t07;horgászbot
t08;gyertya
t09;akvárium
t10;függöny
t11;horgony
t12;váza
t13;hajszárító
t14;mosógép
t15;számítógép
t16;zseblámpa
t17;asztal
t18;szék
t19;szekrény
t20;szőnyeg
t21;fotel
t22;doboz
t23;létra
t24;seprű
t25;ásó
t26;gitár
t27;zongora
t28;xilofon
t29;trombita
t30;kanál
t31;sütő
t32;hűtő
t33;tányér
t34;iskolatáska
t35;iskolapad
t36;tábla
t37;párna
t38;takaró
t39;ágy
t40;bölcső
ty01;kirakós
ty02;kártya
ty03;üveggolyó
ty04;lego
ty05;gyurma
ty06;zsírkréta
ty07;ceruza
ty08;hóember
ty09;homokvár
ty10;könyv
ty11;sárkány
ty12;kard
ty13;varázspálca
ty14;lufi
ty15;telefon
ty16;mágnes
ty17;távcső
ty18;tűzijáték
ty19;jégkorcsolya
ty20;gokart
ty21;mászóka
ty22;libikóka
ty23;trambulin
ty24;babaház
ty25;robot
ty26;plüss
ty27;labda
ty28;frizbi
ty29;gördeszka
ty30;ugrókötél
v01;repülőgép
v02;űrhajó
v03;helikopter
v04;vonat
v05;villamos
v06;szánkó
v07;hajó
v08;csónak
v09;kajak
v10;bicikli
v11;tűzoltóautó
v12;busz
v13;autó
v14;teherautó
v15;traktor
v16;mentőautó
v17;babakocsi
v18;taxi
v19;szekér
v20;markoló
